code	description
2041	INGREDION
2043	KELLOGG
2044	RICEBRAN TECHNOLOGIES COMMON S
2047	CENTRAL GARDEN & PET
2048	BLUE BUFFALO PET PRODUCTS INC.
2051	AMINCOR
2053	GRUPO BIMBO SA
2063	AMERICAN CRYSTAL SUG
2064	ROCKY MOUNTAIN CHOCOLATE FACTO
2066	AJ1G INC. COMMON STOCK
2068	JOHN B SANFILIPPO
2075	SOUTH DAKOTA SOYBEAN PROCESSORS LLC CAP UNT CL A
2076	ARCHER-DANIELS MIDLAND
2077	DARLING INGREDIENTS INC
2079	BUNGE
2084	AWG LTD.
2085	ADKINS ENERGY LLC
2087	ZEVIA PBC
2091	CLEAN SEAS SEAFOOD LTD ORDINARY SHARES
2095	BRC INC
2096	UTZ BRANDS INC
2098	NISSIN FOOD PRODUCTS
2099	AAK AB ORDINARY SHARES
211	AUSTRALIAN AGRICULTU
213	BIQI INTERNATIONAL HOLDINGS CORP
2131	TURNING POINT BRANDS INC
2141	GREEN AND HILL IND
2252	OMNI VENTURES INC
2257	TEIJIN LTD ADR
2259	LAKELAND INDUSTRIES
2269	SEIREN CO LTD SHS (JAPAN)
2281	GRASIM INDS LTD ORDS 10PAR ADS
2282	UNIFI
2290	SHENZHOU INTERNATION
2299	AVALANCHE INTERNATIO
2311	APPAREL MFG ASSOCIAT
2321	OXFORD INDUSTRIES
2325	BLUE HOLDINGS INC
2326	FIGS INC
2329	AGAVENNY CORPORATION COMMON STOCK
2331	BEBE STORES
2335	LULUS FASHION LOUNGE HOLDINGS INC.
2337	PANGLOBAL BRANDS INC
2339	COLUMBIA SPORTSWEAR
2341	TEFRON LTD NEW
2342	VAN DE VELDE NV
2380	STELLA INTL HLD ADR
2381	BOSS HOLDINGS INC
2389	ADIDAS AG
2392	QINGDAO FOOTWEAR INC
2393	AMERICAN REBEL HOLDINGS INC.
2396	STANLEY ELECTRIC CO
2399	LULULEMON ATHLETICA
2411	ECOLOGIX RESOURCE
2434	AMERICAN WOODMARK
2436	HOMASOTE COMPANY
2499	ACCSYS TECHNOLOGIES
2512	BASSETT FURNITURE INDS
2514	JELD-WEN HOLDING INC
2515	LEGGETT & PLATT
2519	FIRSTIME DESIGN LTD
252	VITAL FARMS INC. COMMON STOCK
2541	REGIONAL BRANDS INC COMMON STOCK
2542	EXPO HOLDING INC
2549	MASONITE INTERNATIONAL CORP
2561	NEXE INNOVATIONS INC.
2599	APPLIED UV INC.
2649	INSCAPE CORPORATION
2652	DSS INC
2653	EHOUSE GLOBAL INC. COMMON STOCK
2655	SONOCO PRODUCTS
2657	INTERNATIONAL PAPER
2671	AVERY DENNISON
2672	LINTEC CORP
2676	KIMBERLY-CLARK
2679	BRIGHTEC INC
2699	DIAMANT ART CORP
2752	DAI NIPPON PRTG SPON
2759	CIMPRESS PLC ORDINARY SHARES
2782	ACCO BRANDS
2792	KP TISSUE
2799	WESTBOND ENTERPRISES CORP.
2811	TRANSCONTINENTAL A
2813	AIR PRODUCTS & CHEMICALS
2816	SENESTECH INC. COMMON STOCK
2819	AIR WATER INC
2822	JSR CP UNSP ADR
2823	CROWN ELECTROKINETICS CORP.
2831	LEGIBLE INC. COMMON STOCK (CANADA)
2839	GLACIER MEDIA INC
2841	CHURCH & DWIGHT COMPANY
2843	PURE BIOSCIENCE INC
2869	5E ADVANCED MATERIALS INC.
2873	BION ENVIROMTL TECHS
2874	BIONITROGEN HOLDINGS CORP. COMMON STOCK
2875	KIWA BIO-TECH PRODUCTS GROUP CORP CS
2879	ACE ETHANOL LLC UNIT
2892	ORICA LTD
2893	NOCOPI TECHNOLOGIES INC MD
2895	ASIA CARBON INDUSTRI
2899	ADEKA CORP
2919	ALGOMA STEEL GROUP INC. COMMON SHARES
2921	STELCO HOLDINGS INC
2951	ORBITE TECHNOLOGIES INC. COMMON SHARES
2952	FLAME SEAL PRODUCTS
2959	AMERIWEST LITHIUM INC
2971	CAPSTONE COPPER CORP COM (CANADA)
2992	NANOSAVE TECHNOLOGIES INC. COMMON STOCK
2999	CANADA SILVER COBALT WKS INC
3029	ADF GROUP INC
3042	CCL INDS INC CL B CD
3052	STERLING CONS
3053	ENPRO INDUSTRIES
3059	EXRO TECHNOLOGIES INC
3061	ARCONIC CORP
3062	EXCO TECHNOLOGIES LT
3069	TOP GLOVE CORP. BHD
3083	CARBONMETA TECHNOLOGIES INC.
3084	ADVANCED DRAINAGE SYSTEMS INC
3088	FORTUNE BRANDS INNOVATIONS INC
3091	STEP ENERGY SERVICES LTD
3099	LUNDIN GOLD INC  COMMON SHARES
3142	PHOENIX FOOTWEAR GP
3149	CALERES INC
3161	SAMSARA LUGGAGE INC. COMMON STOCK
3171	SITOY GROUP HOLDINGS LTD.
3199	ADURO CLEAN TECHNOLOGIES INC.
3229	KOPP GLASS INC
3251	CAESARSTONE  LTD
3253	ANTELOPE ENTERPRISE HOLDINGS LTD
3255	ALPHA PRO TECH
3259	AETHER CATALYST SOLUTIONS INC.
3261	KELSO TECHNOLOGIES INC
3264	CPS TECHNOLOGIES CORP. COMMON
3271	WIENERBERGER BAUSTOFINDUSTI AG
3273	BOSTON SAND & GRAVEL
3291	OWENS-CORNING
3295	A CAP ENERGY LTD ORDINARY SHARES
3297	LEEP INC
3299	A2Z SMART TECHNOLOGIES CORP.
3315	ARCELORMITTAL
3316	ARCELORMITTAL SA
3324	CLEVELAND-CLIFFS INC
3325	GERDAU
3331	AURUBIS AG
3351	BAYLIN TECHNOLOGIES INC
3352	ADVANTAGEWON OIL CORP ORDINARY SHARES
3354	CHINA HONGQIAO GROUP LIMITED
3355	CHINA SUN GRP HIGHTE
3356	ALCOA
3359	ENABLENCE TECHNOLOGI
3361	DRONE DELIVERY CDA CORP COMMON SHARES
3366	JOWAY HEALTH IND GRP
3371	HAMMOND POWER SOLUTN
3379	BALLARD POWER SYSTEMS
3381	LITE ACCESS TECHNOLOGIES INC
3391	ELECTROVAYA INC
3398	THERMODYNETICS INC
3399	DYNARESOURCE INC
3421	ACME UNITED
3423	Q E P CO INC
3429	AMCOR PLC ORDINDARY SHARES
3431	GEBERIT AG ADR
3432	OMEGA FLEX
3441	MAYEX USA INC
3449	AMPCO PITTSBURGH CORP WTS
3463	MATERION
3465	METAL ARTS CO INC
3469	HEXCEL
3479	AZZ INC
3482	APPLIED ENERGETICS
3483	AXON ENTERPRISE INC
3484	KRATOS DEFENSE & SECURITY
3489	AMMO INC. 8.75% SERIES A PF
3491	SHENGKAI INNOVATIONS
3492	CIRCOR INTERNATIONAL
3494	LIANDI CLEAN TECH
3495	TECOGEN INC COMMON STOCK
3496	INSTEEL INDUSTRIES
3499	AMERICAN METAL & TEC
3511	ARISTA POWER INC
3519	ADVANCED ENGINE TECH
3521	CENTREX METALS LTD
3534	MW INVESTMENT HOLDING GROUP INC.
3535	INTERROLL HOLDINGS SA
3542	ARC GROUP WORLDWIDE
3545	MAYVILLE ENGINEERING CO INC
3546	HUSQVARNA AB
3548	BONAL INTL INC
3549	LINCOLN ELECTRIC HOLDINGS
3556	BREWBILT BREWING CO
3563	ATLAS COPCO AB SER A
3565	FUJI SEAL INTL INC ORD SHR (JP)
3566	TWIN DISC
3568	ALTRA INDUSTRIAL MOTION CORP.
3582	AIRTRONA INTL INC
3589	EESTECH INC
3594	SIONIX CORPORATION
3599	AARDVARK VENTURES INC COMMON SHARES
3611	CENOVUS ENERGY
3624	CHINA CARBON GRAPHIT
3625	SCHNEIDER ELECTRIC
3629	ADVANCED ENERGY INDS
3631	METALL ZUG AG
3632	WHIRLPOOL
3633	A B ELECTRLX S ADR#
3639	BROTHER INDS LTD SPO
3641	ABCO ENERGY INC COMMON STOCK
3643	ATKORE INC
3645	VU1 CORPORATION
3646	ACUITY BRANDS
3648	BRITE-STRIKE TACTICA
3671	DIGUANG INTL DEV CO
3675	TAIYO YUDEN CO. LTD.
3691	ALPHA-EN CORPORATION
3692	AI TECHNOLOGY GROUP INC COMMON STOCK
3694	JB&ZJMY HC INC.
3699	2G BIO-ENERGIETECHNIK AG
3712	5N PLUS INC
3722	EARTHRENEW INC. ORDINARY SHARES
3729	KARNALYTE RES INC
3731	AUSTAL LTD
3732	FUTURE MOBILITY SOLUTIONS LTD.
3741	1933 INDS INC COMMON SHARES
3761	ASTRO AEROSPACE LTD. COMMON STOCK
3764	AEROJET ROCKETDYNE HOLDINGS INC
3769	CADRE HOLDINGS INC
3792	FLEXIBLE SOLUTIONS
3799	AIRBOSS OF AMERICA C
3840	IMPEDIMED LTD
3912	BAUSCH + LOMB CORP
3922	0187279 B.C. LTD. COMMON SHARES
3932	SPIN MASTER CORP ORD SHR SUB VTG (CA)
3965	CHICAGO RIVET & MACHINE
3991	BRUUSH ORAL CARE INC.
3995	HILLENBRAND
3999	ACREAGE HOLDINGS INC. CLASS D
411	BRAVERN VENTURES LTD  COMMON S
4111	ALTIUS RENEWABLE ROYALTIES CORP.
4119	FIRSTGROUP PLC
4122	BLUMETRIC ENVIRONMEN
4123	BROOKFIELD RENEWABLE CORP
4212	CES SYNERGIES INC
4214	DASEKE INC.
4215	SCOOBEEZ GLOBAL INC. COMMON STOCK
4227	DYNAMIC TECHNOLOGIES GROUP INC
4229	EASTOWER WIRELESS INC
4291	SAVARIA CORP
4299	CANADIAN OIL RECOVRY
4311	GXO LOGISTICS INC
4411	BIRD CONSTRUCTION IN
4424	KIRBY
4449	IQ ULTRA SHORT DURATION ETF
4489	CARNIVAL
4491	COSCO PACIFIC (HK)
4493	LINDBLAD EXPEDITIONS HOLDINGS INC.
4499	ARDMORE SHIPPING CORP
4510	AIRPORTS OF THAI UTS
4511	ACE AVIATION
4523	RADIANT ENERGY (CDA)
4529	CHORUS AVIATION INC. CS VARIABLE
4531	CANADIAN NATIONAL RAILWAY
4551	LOGISTEC CORP CL B
4554	ALGOMA CENT CORP (F)
4561	TITANIUM TRANSPORTATION GROUP
4564	TFI INTERNATIONAL INC
4599	KEYERA CORP
4611	TC ENERGY CORP
4612	ALTUS MIDSTREAM CO WTS
4613	PERMIAN BASIN ROYALTY
4619	HOLLY ENERGY
4711	CERES GLOBAL AG
4724	ARMA SVCS INC COMMON STOCK
4725	SAN LOTUS HOLDING INC.
4729	BTS GROUP HOLDINGS
4741	GATX  CORP
4783	ALLIANCE CREATIVE GROUP INC.
4789	ATLANTIA SPA ORD
4814	QUEBECOR INC CL A
4821	BCE
4839	ADAMANT HLDG INC ORDINARY SHARES
4842	PARCELPAL LOGISTICS INC ORDINARY SHARES
4920	PT PERUSAHAAN ADR
4921	ALTAGAS LTD
4939	ADVENT TECHNOLOGIES HOLDINGS INC
4952	BASIC SANITATION COMPANY
4959	CHARAH SOLUTIONS INC
4999	BACTECH ENVIRONMENTA
5012	ARB CP LTD .50 PAR
5015	MOBILEYE GLOBAL INC. CLASS A
5019	GLOBAL FOOD & INGREDIENTS LTD COM
5023	ARHAUS INC. CLASS A COMMON STOCK
5032	CHINA RUNJI CEMENT INC.
5033	ASPEN AEROGELS INC
5039	FASTENAL
5043	PHOTOZOU HLDGS INC.
5044	QUADIENT S.A. UADR
5046	COVENTRY GROUP LTD
5048	ESSILORLUXOTTICA UADR
5052	COLOMBIA CLEAN POWER
5074	COOL TECHNOLOGIES INC. COMMON STOCK
5075	CARRIER GLOBAL CORP
5078	ROSINBOMB COMMON STOCK
5083	GROWLIFE INC.
5085	CORE & MAIN
5088	ACV AUCTIONS INC. CLASS A COMMON STOCK
5091	CONSOLIDATED SPORTS
5093	BLUE WATER PETROLEUM CORP. COMMON STOCK
511	ACADIAN TIMBER
5111	SYLVAMO CORP
5112	SUGARMADE INC
5136	BOSIDENG INTL ADR
5137	A.K.A. BRANDS HOLDING CORP.
5139	ABC-MART INC TOKYO
5142	1PM INDUSTRIES INC. COMMON STOCK
5143	DANONE ADR
5144	VERUS INTERNATIONAL INC. COMMON STOCK
5145	MEDICALE CORP COM
5146	UMAMI SUSTAINABLE SE
5148	AIXIN LIFE INTERNATIONAL INC.
5149	AMSTERDAM COMMODITIE
5159	ANDERSONS
5162	AGRISTAR INC
5169	ALKANE INC.
5182	C&C GROUP PLC
5191	EDIBLE GARDEN AG INCORPORATED
5192	EDUCATIONAL DEVELOPMENT
5193	AGROFRESH SOLUTIONS INC. COMMON STOCK
5194	1606 CORP COM
5198	DU PONT DE NEMOURS & CO
5199	AGAPE ATP CORP
5212	KOMO PLT BASED FOODS INC
5219	COLABOR GROUP INC
5221	HILL STREET BEVERAGE CO INC
5231	NASS VALLEY GATEWAY LTD
5232	FRIDAYS DOG HOLDINGS INC
5239	FIORE CANNABAIS LTD  ORDINARY SHARES
5261	CALLOWAY'S NURSERY
5310	JUMBO S A ADS
5421	BAKKAFROST PF
5441	KRISPY KREME INC. COMMON STOCK
5461	CAFE HOLDINGS INC. COMMON STOCK
5499	C P SEVEN UNITS
5511	ASBURY AUTOMOTIVE GROUP
5521	AMERICA'S CAR-MART
5529	HYPERCHARGE NETWORKS CORP COM
5541	TRAVELCENTERS OF AMERICA
5551	FORZA X1 INC.
5561	CAMPING WORLD HOLDINGS INC
5571	MOTOS AMERICA INC. COMMON STOCK
5599	CARGURUS INC. CLASS A COMMON STOCK
5611	RUSSEL METALS INC
5622	CURRENT WATER TECHNOLOGIES INC
5631	ADENTRA INC.
5632	PRADA SPA ADR
5641	CHILDRENS PLACE INC.
5699	BRAVADA INTL LTD
5711	LION ELECTRIC CO
5714	SANGETSU CORP
5719	BED BATH & BEYOND
5722	EVERGREEN PRODS GROUP LTD. ADR
5744	ALPHINAT INC ORDINARY SHARES
5749	WAJAX CORP
5792	ATMOFIZER TECHNOLOGIES INC
5799	FINNING INTL INC
5813	BEIJING ENT HLD ORD
5919	ANAERGIA INC
5921	AMERICAN MART CORP
5932	SPECTRUM GROUP INTERNATIONAL INC
5941	BIG 5 SPORTING GOODS
5942	BARNES & NOBLE EDUCATION INC
5946	AMERICAN OUTDOOR BRANDS INC
5963	CANNAE HOLDINGS INC
5983	ABLE ENERGY INC
5984	FERRELLGAS PARTNERS L P UNT LP INT CLASS B UNT
5989	CROSSAMERICA PARTNERS LP
5992	1-800 FLOWERS.COM
5999	1STDIBS.COM INC.
6011	1ST SUMMIT BANCRP PA
6012	ALIMENTATION COUCHE-TARD INC
6019	CHINA MERCHANTS BANK CO LTD ADR
6020	BANK OF AYUDHYA
6031	DELTA 9 CANNABIS INC ORDINARY SHARES
6032	NOVA CANNABIS INC ORDINARY SHARES
6061	RUNWAY GROWTH FINANCE CORP.
6081	CBB BANCORP INC. COMMON STOCK
6082	JULIUS BAER GROUP
6091	AMERICAN PREMIUM WATER CORPORATION
611	1911 GOLD CORP ORDINARY SHARES
612	ARANJIN RESOURCES LTD.  ORDINARY SHARES
613	VAL D OR MNG CORP COMMON SHARES
6131	ARITZIA INC. ORDINARY SHARES (CANADA)
614	ADVENTUS MNG CORP COMMON SHARES
6149	ROOTS CORP
615	AMERIGO RESOURCES
616	ANFIELD ENERGY INC ORDINARY SHARES
617	ARES STRATEGIC MNG INC COMMON SHARES
619	37 CAPITAL INC
6231	141 CAPITAL INC
624	AGRIMINCO CORP
6289	AMERITRUST CORPORATION COMMON STOCK
629	ACME LITHIUM INC.
631	COMPLIANCE ENERGY CORP COMMON SHARES
6322	LIMESTONE BOAT CO LTD.
6323	TAIGA MTRS CORP.
633	BUFFALO COAL COR
6371	DOUBLELINE OPPORTUNISTIC CRED
6413	SLEEP COUNTRY CANADA HOLDINGS INC
6514	PRAETORIAN PROPERTY INC. COMMON STOCK
6515	APPRECIATE HOLDINGS INC. CLASS A
6517	KEPPEL CORP LTD
6553	BAYPORT INTERNATIONAL HOLDINGS INC.
6561	BIRKS GROUP INC
6599	ADVENT AWI HLDGS INC COMMON SHARES
6712	BANKFLORIDA BANCORP INC
6719	10X CAPITAL VENTURE ACQ III UNT (CLASS A & 1/2 WT)
6722	ABRDN GLOBAL INFRASTRUCTURE INCOME FUND
6726	ABRDN JAPAN EQUITY FUND INC
6732	VNV GLOBAL AB DEPOSITARY RECEIPTS
6733	ABRDN GLOBAL DYNAMIC DIVIDEND FUND
6790	CHINA EVERBRIGHT LT
6921	LXRANDCO INC ORDINARY SHARES
7021	BANK OF MONTREAL
7029	BANK N S HALIFAX
7031	ALARIS EQUITY PARTNERS INCOME TR UNT 3C7
7032	ALTITUDE INTERNATIONAL INC.
7041	BUCK HILLS FALLS CO
7051	FINCANNA CAPITAL CORP COMMON STOCK
7052	PROPEL HOLDINGS INC
711	ADVANTAGE ENERGY LTD. ORDINARY SHARES
7111	AUTOMOTIVE FINCO CORP. ORDINARY SHARES
712	PEYTO EXPL & DEVEL
7121	ACCORD FINANCIAL CORP ORD SHR (CA)
7122	FINDEV INC COMMON SHARES
7124	ATRIUM MTG INVT
7125	CBM ASIA DEV CORP
7129	BRASILAGRO - CIA BRAS
721	GLOBAL CLEAN ENERGY HOLDINGS INC.
7211	AIMIA INC.  COMMON SHARES
7213	ADVISORSHARES GERBER KAWASAKI ETF
7214	A G F MGMT LTD CL B
7215	BELGRAVIA HARTFORD CAP INC CS
7221	DOMINION LENDING CTRS INC COMMON SHARES
7222	ALLIED PPTYS R E INV
7229	FIRM CAP MTG
723	QED CONNECT INC.
7231	AMERICAN INTL HLDG CORP. CS
7261	CARRIAGE SERVICES
7291	H&R BLOCK
7292	SPROTT PHYSICAL SILVER
7299	49 NORTH RESOURCES
7300	A2B LTD UADR
7312	BOSTON OMAHA CORP
7313	CLUBHOUSE MEDIA GROUP INC COMMON STOCK
7319	ADAPTIVE AD SYSTEMS
7322	CREDIT SAISON CO LTD
7323	EQUIFAX
7335	ZAMAGE DIGITAL ART
7336	DASSAULT SYSTEME A
7339	FAIRFAX FINANCIAL
7342	ROLLINS
7349	ABM INDUSTRIES
7352	INGEN TECHNOLOGIES
7353	ALTA EQUIPMENT GROUP INC
7360	MCMILLAN SHAKESPEARE LTD UADR (AU)
7375	ALPHABET INC CLASS A
7376	3DSHOPPING.COM
7379	12 RETECH CORPORATION COMMON STOCK
7382	AIRBORNE SEC & PROT
7411	CATHEDRA BITCOIN INC COMMON STOCK
7412	BLOCKCHAINK2 CORP ORDINARY SHARES
7413	BITCOIN WELL INC COM
742	PHIBRO ANIMAL HEALTH CORPORATI
7421	FIRST NATL FINL CORP
7431	TMX GROUP LTD
7432	GOLDMONEY INC ORDINARY SHARES
7499	BIGG DIGITAL ASSETS INC ORDINARY SHARES
7511	ALTUS GROUP LTD
7512	MORGUARD CORP
7513	AMERCO
7514	AFRICAN DISCOVERY GROUP INC.
7521	CENTRAL PACK 5.25 PF
7534	MONRO INC
7542	MISTER CAR WASH
7549	ALPINE AUTO BROKERS INC
7599	AGRIOS GOLBAL HOLDINGS LTD
761	UPWORK INC. COMMON STOCK
7611	IA FINL CORP INC.
762	CHAROEN POKPHAND UTS
7623	PERMA-PIPE INTL HLDGS INC
7629	PARAGON TECH INC
7699	BOWLIN TRAVEL CENTER
7711	HIRE TECHNOLOGIES INC.
7712	CALDWELL PART INTL
7721	01 COMMUNIQUE LAB INC COMMON SHARES
7741	ACUITYADS HOLDINGS INC. COMMON SHARES
7742	BBTV HOLDINGS INC COM SUB VOTING SHS
7743	INEO TECH CORP.
7749	SNIPP INTERACTIVE IN
7751	DIRTT ENVIRONMENTAL SOLUTIONS LTD
7759	CO2 SOLUTIONS INC
7791	ANANTE LOGIXX INC COMMON SHARES
7799	3 SIXTY RISK SOLUTIONS LTD CS
7832	CABO VERDE CAPITAL
7833	HOLLYWOOD STUDIOS
7922	AMC ENTERTAINMENT HOLDINGS INC
7929	ALLIANCE ENTERTAINMENT HC CLASS A
7933	BOWLERO CORP
7941	AMERICAN BASKETBALL ASSOCIATION INC.
7991	F45 TRAINING HOLDINGS
7993	ACCEL ENTERTAINMENT
7996	CEDAR FAIR
7999	ALL FOR ONE MEDIA CORP. COMMON STOCK
8021	XCELERATE INC COMMON STOCK
8041	THE JOINT CORP. COMMON STOCK
8052	CLEARDAY INC COMMON STOCK
8059	AMERICAN MOBILE DENT
8063	MYCOTOPIA THERAPIES INC. COMMON STOCK
8069	AIRSCULPT TECHNOLOGIES INC.
8092	DAVITA INC
8099	10X GENOMICS INC. CLASS A COMMON STOCK
811	KEWEENAW LND ASSN CT
8161	WELLBEING DIGITAL SCIENCES INC
8211	ANVIA HOLDINGS CORP
8221	ADTELEM GLOBAL EDUCATION INC
8222	UNIVERSAL TECHNICAL INST
8243	LEARNING TREE INTL INC
8244	BIRDIE WIN CORP COMMON STOCK
8249	ATAI LIFE SCIENCES N.V. COMMON SHARES
8263	CHINA EDUCATION RESO
8299	2U INC. COMMON STOCK
831	YEW BIO PHARM GROUP
8322	MODIVCARE INC
8331	COURSERA INC
8361	A CLEAN SLATE INC.
851	TREECON RESRCS
8511	D2L INC SUB VTG SHS COMMON SHARES
8599	CIBT EDUCATION GROUP
8611	CARERX CORP. COMMON SHARES
8613	NUMINUS WELLNESS INC
8619	EMPOWER CLINICS INC ORDINARY SHARES
8621	NOVA LEAP HEALTH CORP.
8629	CLOUD DX INC.
8633	VENTRIPOINT DIAGNOSTICS LTD
8634	MEDICAL SERVICES CLA
8639	DIAGNOS INC. COMMON SHARES
8653	DENTALCORP HLDGS LTD SHS
8669	LEVELJUMP HEALTHCARE CORP.
8681	BIOMARK DIAGNOSTICS INC ORDINA
8683	EGF THERAMED HEALTH CORP
8685	ALTERNATE HEALTH CORP. ORDINARY SHARES
8689	AVRICORE HEALTH INC. ORDINARY SHARES
8691	AI / ML INNOVATIONS INC. ORD SHR
8693	COVALON TECH LTD
8699	CERTIVE SOLUTIONS INC. ORDINARY SHARES
8710	AUSTIN ENGINEERING LTD
8713	DEEP BLUE MARINE INC
8732	ASSET ENTITIES INC. CLASS B
8733	AEON GLOBAL HEALTH CORP. COMMON STOCK
8740	FOOD & LIFE COS LTD ORDINARY SHARES
8748	AERIUS CMN STK
8999	ACCOLADE INC.
911	ATHABASCA OIL CORP
9111	CLARKE INC COMMON SHARES
9113	PATHFINDER VENTURES INC COM (CANADA)
912	SANFORD LTD ADR
919	ACTION ENERGY INC
921	AQUABOUNTY TECHNOLOGIES INC.
9211	A&W REV ROYALTIES UT
9213	JUST KITCHEN HLDGS CORP.
9214	MTY FOOD GROUP INC
9224	BRIDGER AEROSPACE GROUP HOLDINGS INC.
9229	ARGYLE SECURITY INC
929	ADAMERA MINERALS COR
9411	UDEMY INC. COMMON STOCK
9431	P3 HEALTH PARTNERS INC. CLASS A
9441	HIRERIGHT HOLDINGS CORP
9511	BETTER ENV CONCEPTS
9611	E-PLAY DIGITAL INC ORDINARY SHARES
9612	QYOU MEDIA INC.
9613	DHX MEDIA LTD.
9619	AMCOMRI ENTERTAINMENT INC COMMON SHARES
9621	IMAX
9631	ESE ENTERTAINMENT INC
9639	CINEPLEX INC
9654	VISION MARINE TECHNOLOGIES INC.
9659	TWC ENTERPRISES LTD
9661	ASTRA SPACE INC
9695	CANLAN ICE SPORTS CORP.
971	CLICKSTREAM CORPORAT
9711	BWX TECHNOLOGIES INC
9729	K-BRO LINEN INC
9732	PARK LAWN CORP ORDINARY SHARES (CANADA)
9799	GOODFOOD MKT CORP
9919	BLACK DIAMOND GROUP
9921	AZN CAP CORP COMMON SHARES
9949	GATEKEEPER SYS INC ORDINARY SH
9959	ATLAS ENGINEERED PRODUCTS LTD.
9962	TRANSAT A.T. INC ORDINARY SHARES CANADA
9999	AMER BILTRITE INC
