code	description
333912	Air and Gas Compressor Manufacturing 
311920	Coffee and Tea Manufacturing 
115115	Farm Labor Contractors and Crew Leaders 
334418	Printed Circuit Assembly (Electronic Assembly) Manufacturing 
313210	Broadwoven Fabric Mills
423420	Office Equipment Merchant Wholesalers 
561510	Travel Agencies
485510	Charter Bus Industry
335910	Battery Manufacturing 
562991	Septic Tank and Related Services 
114119	Other Marine Fishing 
541110	Offices of Lawyers
212312	Crushed and Broken Limestone Mining and Quarrying 
561910	Packaging and Labeling Services
333998	All Other Miscellaneous General Purpose Machinery Manufacturing 
112130	Dual-Purpose Cattle Ranching and Farming 
562212	Solid Waste Landfill 
327410	Lime Manufacturing
712130	Zoos and Botanical Gardens 
333241	Food Product Machinery Manufacturing 
322120	Paper Mills 
611420	Computer Training 
541511	Custom Computer Programming Services 
334416	Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing 
111219	Other Vegetable (except Potato) and Melon Farming 
113310	Logging 
237310	Highway, Street, and Bridge Construction 
316210	Footwear Manufacturing 
525910	Open-End Investment Funds 
926140	Regulation of Agricultural Marketing and Commodities 
624410	Child Care Services 
311991	Perishable Prepared Food Manufacturing 
423110	Automobile and Other Motor Vehicle Merchant Wholesalers 
325212	Synthetic Rubber Manufacturing 
923110	Administration of Education Programs 
722515	Snack and Nonalcoholic Beverage Bars 
621498	All Other Outpatient Care Centers 
459130	Sewing, Needlework, and Piece Goods Retailers 
335131	Residential Electric Lighting Fixture Manufacturing 
311225	Fats and Oils Refining and Blending 
336214	Travel Trailer and Camper Manufacturing 
311919	Other Snack Food Manufacturing 
486110	Pipeline Transportation of Crude Oil
236116	New Multifamily Housing Construction (except For-Sale Builders) 
212322	Industrial Sand Mining 
236220	Commercial and Institutional Building Construction 
522130	Credit Unions 
713930	Marinas
485210	Interurban and Rural Bus Transportation
611710	Educational Support Services
111998	All Other Miscellaneous Crop Farming 
459510	Used Merchandise Retailers 
457210	Fuel Dealers 
482111	Line-Haul Railroads 
711190	Other Performing Arts Companies 
561499	All Other Business Support Services 
115310	Support Activities for Forestry
112330	Turkey Production
311230	Breakfast Cereal Manufacturing
561612	Security Guards and Patrol Services 
237210	Land Subdivision 
926150	Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors 
334517	Irradiation Apparatus Manufacturing 
624210	Community Food Services 
485111	Mixed Mode Transit Systems 
336120	Heavy Duty Truck Manufacturing
323111	Commercial Printing (except Screen and Books) 
561621	Security Systems Services (except Locksmiths) 
532289	All Other Consumer Goods Rental 
445292	Confectionery and Nut Retailers 
327213	Glass Container Manufacturing 
326299	All Other Rubber Product Manufacturing 
314999	All Other Miscellaneous Textile Product Mills 
213113	Support Activities for Coal Mining 
212311	Dimension Stone Mining and Quarrying 
813319	Other Social Advocacy Organizations 
611513	Apprenticeship Training 
459930	Manufactured (Mobile) Home Dealers 
332323	Ornamental and Architectural Metal Work Manufacturing 
237990	Other Heavy and Civil Engineering Construction 
924120	Administration of Conservation Programs 
333413	Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing 
812220	Cemeteries and Crematories 
321215	Engineered Wood Member Manufacturing 
333991	Power-Driven Handtool Manufacturing 
921140	Executive and Legislative Offices, Combined 
562920	Materials Recovery Facilities 
621491	HMO Medical Centers 
321113	Sawmills 
424810	Beer and Ale Merchant Wholesalers 
423690	Other Electronic Parts and Equipment Merchant Wholesalers 
327215	Glass Product Manufacturing Made of Purchased Glass 
221111	Hydroelectric Power Generation 
483113	Coastal and Great Lakes Freight Transportation 
811192	Car Washes 
541310	Architectural Services
111940	Hay Farming 
327320	Ready-Mix Concrete Manufacturing
322219	Other Paperboard Container Manufacturing 
441120	Used Car Dealers 
325992	Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing 
212390	Other Nonmetallic Mineral Mining and Quarrying 
459991	Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers 
111339	Other Noncitrus Fruit Farming 
112512	Shellfish Farming 
531110	Lessors of Residential Buildings and Dwellings 
325612	Polish and Other Sanitation Good Manufacturing 
523940	Portfolio Management and Investment Advice 
332811	Metal Heat Treating 
621210	Offices of Dentists 
423140	Motor Vehicle Parts (Used) Merchant Wholesalers 
711320	Promoters of Performing Arts, Sports, and Similar Events without Facilities 
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing
812921	Photofinishing Laboratories (except One-Hour) 
424350	Clothing and Clothing Accessories Merchant Wholesalers
722330	Mobile Food Services
922150	Parole Offices and Probation Offices 
561210	Facilities Support Services
562211	Hazardous Waste Treatment and Disposal 
541921	Photography Studios, Portrait 
221310	Water Supply and Irrigation Systems 
532120	Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing 
812111	Barber Shops 
334510	Electromedical and Electrotherapeutic Apparatus Manufacturing 
927110	Space Research and Technology 
522390	Other Activities Related to Credit Intermediation 
483212	Inland Water Passenger Transportation 
423510	Metal Service Centers and Other Metal Merchant Wholesalers 
621320	Offices of Optometrists
486910	Pipeline Transportation of Refined Petroleum Products
524128	Other Direct Insurance (except Life, Health, and Medical) Carriers 
236210	Industrial Building Construction 
813410	Civic and Social Organizations 
813212	Voluntary Health Organizations 
622110	General Medical and Surgical Hospitals 
813990	Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) 
811411	Home and Garden Equipment Repair and Maintenance 
325315	Compost Manufacturing
111336	Fruit and Tree Nut Combination Farming 
212115	Underground Coal Mining 
513140	Directory and Mailing List Publishers 
512199	Other Motion Picture and Video Industries 
313230	Nonwoven Fabric Mills
339112	Surgical and Medical Instrument Manufacturing 
517122	Agents for Wireless Telecommunications Services
331313	Alumina Refining and Primary Aluminum Production 
811430	Footwear and Leather Goods Repair
332613	Spring Manufacturing 
311119	Other Animal Food Manufacturing 
335991	Carbon and Graphite Product Manufacturing 
713920	Skiing Facilities
621330	Offices of Mental Health Practitioners (except Physicians) 
611310	Colleges, Universities, and Professional Schools 
424920	Book, Periodical, and Newspaper Merchant Wholesalers 
561330	Professional Employer Organizations
325110	Petrochemical Manufacturing
333511	Industrial Mold Manufacturing 
621512	Diagnostic Imaging Centers 
332919	Other Metal Valve and Pipe Fitting Manufacturing 
459210	Book Retailers and News Dealers 
333996	Fluid Power Pump and Motor Manufacturing 
238120	Structural Steel and Precast Concrete Contractors 
333613	Mechanical Power Transmission Equipment Manufacturing 
813312	Environment, Conservation and Wildlife Organizations 
541910	Marketing Research and Public Opinion Polling
525110	Pension Funds 
311612	Meat Processed from Carcasses 
332312	Fabricated Structural Metal Manufacturing 
484210	Used Household and Office Goods Moving
624110	Child and Youth Services 
812930	Parking Lots and Garages 
323117	Books Printing 
321114	Wood Preservation 
325998	All Other Miscellaneous Chemical Product and Preparation Manufacturing 
459310	Florists 
541490	Other Specialized Design Services
551114	Corporate, Subsidiary, and Regional Managing Offices 
423830	Industrial Machinery and Equipment Merchant Wholesalers 
335313	Switchgear and Switchboard Apparatus Manufacturing 
111140	Wheat Farming
334118	Computer Terminal and Other Computer Peripheral Equipment Manufacturing 
445240	Meat Retailers 
713290	Other Gambling Industries 
811191	Automotive Oil Change and Lubrication Shops 
813311	Human Rights Organizations 
513210	Software Publishers
332114	Custom Roll Forming 
311422	Specialty Canning 
325613	Surface Active Agent Manufacturing 
326191	Plastics Plumbing Fixture Manufacturing 
811122	Automotive Glass Replacement Shops 
212114	Surface Coal Mining 
221330	Steam and Air-Conditioning Supply 
541922	Commercial Photography 
541715	Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) 
532282	Video Tape and Disc Rental
922120	Police Protection 
523999	Miscellaneous Financial Investment Activities 
621910	Ambulance Services 
325193	Ethyl Alcohol Manufacturing 
456199	All Other Health and Personal Care Retailers 
456110	Pharmacies and Drug Retailers 
332112	Nonferrous Forging 
611610	Fine Arts Schools 
611620	Sports and Recreation Instruction 
322291	Sanitary Paper Product Manufacturing 
541930	Translation and Interpretation Services
483112	Deep Sea Passenger Transportation 
423710	Hardware Merchant Wholesalers 
211120	Crude Petroleum Extraction 
624229	Other Community Housing Services 
445131	Convenience Retailers 
333132	Oil and Gas Field Machinery and Equipment Manufacturing 
423330	Roofing, Siding, and Insulation Material Merchant Wholesalers 
621991	Blood and Organ Banks 
333923	Overhead Traveling Crane, Hoist, and Monorail System Manufacturing 
111920	Cotton Farming
813219	Other Grantmaking and Giving Services 
332216	Saw Blade and Handtool Manufacturing 
325120	Industrial Gas Manufacturing
331524	Aluminum Foundries (except Die-Casting) 
423620	Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers 
423820	Farm and Garden Machinery and Equipment Merchant Wholesalers 
334512	Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use 
456130	Optical Goods Retailers 
624230	Emergency and Other Relief Services 
326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing
312140	Distilleries 
488210	Support Activities for Rail Transportation
325413	In-Vitro Diagnostic Substance Manufacturing 
621112	Offices of Physicians, Mental Health Specialists 
327910	Abrasive Product Manufacturing
541519	Other Computer Related Services
221114	Solar Electric Power Generation 
623312	Assisted Living Facilities for the Elderly 
335929	Other Communication and Energy Wire Manufacturing 
325412	Pharmaceutical Preparation Manufacturing 
621610	Home Health Care Services
339993	Fastener, Button, Needle, and Pin Manufacturing 
321912	Cut Stock, Resawing Lumber, and Planing 
562213	Solid Waste Combustors and Incinerators 
332111	Iron and Steel Forging 
561431	Private Mail Centers 
611210	Junior Colleges 
112519	Other Aquaculture 
333111	Farm Machinery and Equipment Manufacturing 
311824	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour 
213111	Drilling Oil and Gas Wells
455110	Department Stores 
339930	Doll, Toy, and Game Manufacturing
812990	All Other Personal Services 
449122	Window Treatment Retailers 
561740	Carpet and Upholstery Cleaning Services
332410	Power Boiler and Heat Exchanger Manufacturing
541940	Veterinary Services 
532412	Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing 
339950	Sign Manufacturing
812113	Nail Salons 
923140	Administration of Veterans' Affairs 
337126	Household Furniture (except Wood and Upholstered) Manufacturing 
814110	Private Households
336212	Truck Trailer Manufacturing 
333993	Packaging Machinery Manufacturing 
213115	Support Activities for Nonmetallic Minerals (except Fuels) Mining 
333618	Other Engine Equipment Manufacturing 
311224	Soybean and Other Oilseed Processing 
922160	Fire Protection 
311821	Cookie and Cracker Manufacturing 
512250	Record Production and Distribution
722320	Caterers
493190	Other Warehousing and Storage
337122	Nonupholstered Wood Household Furniture Manufacturing 
561622	Locksmiths 
337214	Office Furniture (except Wood) Manufacturing 
315990	Apparel Accessories and Other Apparel Manufacturing 
488490	Other Support Activities for Road Transportation 
114112	Shellfish Fishing 
921120	Legislative Bodies 
444180	Other Building Material Dealers 
423490	Other Professional Equipment and Supplies Merchant Wholesalers 
541714	Research and Development in Biotechnology (except Nanobiotechnology)
322211	Corrugated and Solid Fiber Box Manufacturing 
712110	Museums 
339992	Musical Instrument Manufacturing 
423810	Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers 
336360	Motor Vehicle Seating and Interior Trim Manufacturing
332322	Sheet Metal Work Manufacturing 
561790	Other Services to Buildings and Dwellings 
333414	Heating Equipment (except Warm Air Furnaces) Manufacturing 
337110	Wood Kitchen Cabinet and Countertop Manufacturing
517111	Wired Telecommunications Carriers 
237130	Power and Communication Line and Related Structures Construction 
813110	Religious Organizations 
112410	Sheep Farming
488330	Navigational Services to Shipping 
324122	Asphalt Shingle and Coating Materials Manufacturing 
441110	New Car Dealers 
326212	Tire Retreading 
459999	All Other Miscellaneous Retailers 
332117	Powder Metallurgy Part Manufacturing 
315250	Cut and Sew Apparel Manufacturing (except Contractors) 
311911	Roasted Nuts and Peanut Butter Manufacturing 
335932	Noncurrent-Carrying Wiring Device Manufacturing 
238990	All Other Specialty Trade Contractors
541199	All Other Legal Services 
321211	Hardwood Veneer and Plywood Manufacturing 
325510	Paint and Coating Manufacturing
624310	Vocational Rehabilitation Services 
332722	Bolt, Nut, Screw, Rivet, and Washer Manufacturing 
811412	Appliance Repair and Maintenance 
111331	Apple Orchards 
424130	Industrial and Personal Service Paper Merchant Wholesalers 
111191	Oilseed and Grain Combination Farming 
523160	Commodity Contracts Intermediation 
485113	Bus and Other Motor Vehicle Transit Systems 
322130	Paperboard Mills 
424420	Packaged Frozen Food Merchant Wholesalers 
333415	Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing 
541810	Advertising Agencies
541512	Computer Systems Design Services 
423210	Furniture Merchant Wholesalers 
333519	Rolling Mill and Other Metalworking Machinery Manufacturing 
562119	Other Waste Collection 
485310	Taxi and Ridesharing Services 
523210	Securities and Commodity Exchanges
213114	Support Activities for Metal Mining 
611512	Flight Training 
424510	Grain and Field Bean Merchant Wholesalers 
424310	Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers 
112930	Fur-Bearing Animal and Rabbit Production
424490	Other Grocery and Related Products Merchant Wholesalers 
311520	Ice Cream and Frozen Dessert Manufacturing
337910	Mattress Manufacturing
238310	Drywall and Insulation Contractors 
525190	Other Insurance Funds 
326113	Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
711110	Theater Companies and Dinner Theaters 
221116	Geothermal Electric Power Generation 
523930	HENNESSY ADVISORS
0	ACSL LTD COMMON STOCK
315220	HANESBRANDS
523920	ARES MANAGEMENT LP
442299	HOME PROD CTR FGN
511210	FUSE SCIENCE INC. COMMON STOC
212299	SUN SUMMIT MINERALS CORP COMMON SHARES
522120	MIDLAND CAP HLDNGS
446110	CAFE SERENDIPITY HOLDINGS INC.
517110	SOFTBANK GROUP CORP ORDINARY SHARES
333316	GOPRO INC. CLASS A COMMON STO
519130	GLOBAL X INTEREST RATE HEDGE ETF
523120	INTERACTIVE BROKERS GROUP
212221	BIG TREE CARBON INC ORDINARY SHARES
316998	SAMSONITE INTL
336111	CANOO INC. WARRANT
212222	FABLED COPPER CORP COMMON SHARES
212291	RADIO FUELS ENERGY CORP CS (CA)
443142	CURRYS PLC ORDINARY SHARES
517311	LIBERTY BROADBAND CORPORATION
445299	WESTON GEORGE LTD PF PF
334614	TERADATA
335911	NEOVOLTA INC.
452111	WOOLWORTHS HDGS GDR
334613	SADDLE RANCH MEDIA INC
454110	EMERGE COMM LTD.
333318	L3HARRIS TECHNOLOGIES INC
522294	FED NATL NTG PFD O
212399	ROSS RIVER MINERALS INC. COMMON SHARES
446120	VALENTINE BEAUTY IN
515210	IMING CORP
523110	CALAMOS DYNAMIC CONVERTIBLE &
523140	TOKENS COM CORP COMMON SHARES
517919	BUZZ TECHNOLOGIES IN
453998	MARUI GROUP CO LTD
425110	SNAP ONE HOLDINGS CORP. COMMON STOCK
519190	TUANCHE LIMITED ADS
452112	LAWSON INC OSAKA
212112	ALPHA METALLURGICAL RESOURCES INC
448310	LUK FOOK HOLDINGS IN
454310	STAR GROUP L.P.
811219	META MATERIALS INC. COMMON STOCK
522298	MEDALLION FINANCIAL CORP. COMMON STOCK
212393	LOOP INDUSTRIES INC. COMMON STOCK
333911	EBARA CORP LTD ADR
448150	BRUNELLO CUCINELLI S P A ADR
448190	CATO
211111	NEWMED ENERGY LTD SHS ORDINARY SHARES
515120	SES SA COMMON SHARES
525930	FVI FONDO DE VALORES SER B 10P SADR
451211	BARNES & NOBLE EDUCATION INC
446130	KITS EYECARE LTD.
452319	CXJ GROUP CO. LIMITED COMMON STOCK
333313	KONICA MINOLTA INC
517212	DIRECT COATING INC.
333999	HYDROGEN HYBRID TECH
221119	CONSOLID BIOFUEL NEW
517210	KDDI CP UNSP ADR
333249	NUBURU INC.
212111	COLOMBIA CLEAN POWER
522190	BANCO LATINOAMERICANO
335129	VIPER NETWORKS INC
334119	CREATIVE TECH ORD
515112	EMMIS COMMUNICATIONS
424320	FBC HLDG INC
424330	DIGITAL BRANDS GROUP INC. COMMON STOCK
448140	AMERICAN EAGLE
453910	PETCO HEALTH AND WELLNESS COMPANY INC. CLASS A
335221	RINNAI CORP
448110	FAST RETAILING CO LTD
454390	EXTREME MOTORSPORTS
517312	VISLINK TECHNOLOGIES INC
335122	LEGRAND SA
523130	ORACLE HEALTH ACQ
337125	LUVU BRANDS INC. COMMON STOCK
511120	AMERICAN COM NEWSPPR
333295	NOVA LTD
441310	QUANTUMSCAPE CORP
335110	SAVWATT USA INC.
315231	TEFRON LTD NEW
446199	HONG KONG WINALITE GROUP INC.
333314	BAUSCH + LOMB CORP
541711	MESOBLAST LTD
315240	COLUMBIA SPORTSWEAR
336112	VOLVO AB  CL A  5 PA
452910	GRUPO COMERCIAL
212391	ENCANTO POTASH CORP CS
517911	ADVENT AWI HLDGS INC COMMON SHARES
451140	TLD3 ENTERTAINMENT GROUP INC.
333319	RICOH CO LTD SP ADR
212234	MINCOR RESOURCES
316219	YUE YUEN INDUSTRIAL
315190	LAKELAND INDUSTRIES
451110	GHST WORLD INC. COMMON STOCK
322122	GLATFELTER CORP
454111	ABLAZE TECHNOLOGIES
446191	IRWIN NATURALS INC
212113	CORSA COAL CORP. COMMON SHARES
522293	JAMES MONROE CAPITAL
811118	SINGAPORE TECH ENGINEERING LTD ADR
335211	GUD HOLDINGS AUD
441228	CURTISS MOTORCYCLES COMPANY INC.
511199	GLACIER MEDIA INC
335121	VU1 CORPORATION
313111	TEIJIN LTD ADR
444220	GROWGENERATION CORP. COMMON STOCK
448120	TORRID HOLDINGS INC
325188	NISSAN CHEMICAL CORP UADR
454311	ABLE ENERGY INC
335912	DRAGONFLY ENERGY HC. WT
210000	MASCOT SILVER LEAD M
333298	SANDVIK AB ORD
999900	A B ELECTRLX S ADR#
811211	VOXX INTERNATIONAL
333210	MITSUBISHI HEAVY INDS LTD ORD
452210	SEARS HOLDINGS CORP
511130	PEOPLES EDUCATIONAL
442110	HOWDEN JOINERY GROUP PLC ADR
448210	GEOX SPA ADR
445310	FORTUNE VALLEY TREASURES INC.
333997	TOYO CORPORATION ORDINARY SHARES
444190	LL FLOORING HOLDINGS INC
325222	INDORAMA VENTURES
541712	CARDIOVASCULAR SCIEN
443141	JB HI-FI LIMITED
334611	SQUARE ENIX CO LTD
212325	ROCKHAVEN RESOURCES
453920	SPORTS POUCH BEV CO
312221	BRITISH AMERICAN TOBACCO
453110	1-800 FLOWERS.COM
337124	GWA GROUP LTD UADR
212392	CHATHAM ROCK PHOSPHATE LTD.
454113	VIPSHOP HOLDINGS
513322	ISHARES MSCI GLOBAL METALS & MINING PRODUCERS ETF
336322	DENSO CORP LTD ADR
211112	WOODSIDE ENERGY GROUP LTD
442291	SANGETSU CORP
447110	TRAVELCENTERS OF AMERICA
315999	LI NING COMPANY LTD
515111	THE MARQUIE GROUP INC.
451120	SANRIO CO LTD
331111	MAANSHAN IRON & STEE
448130	CHILDRENS PLACE INC.
334518	CITIZEN WATCH CO. LTD UADR
722110	RESTAURANT BRANDS NEW ZEALAND LTD
315280	SUPERIOR UNIFORM GROUP
335228	BROTHER INDS LTD SPO
316992	SITOY GROUP HOLDINGS LTD.
445120	ALIMENTATION COUCHE-TARD INC
331316	LIXIL CORP UADR
453210	OFFICE DEPOT INC. COMMON STOC
488110	CENTRAL NORTH AIRPORT
517100	CHUNGHWA TELECOM
333244	ARMOR ELECTRIC INC
561490	ITURAN
316213	ADIDAS AG
442210	LIVE VENTURES INCORPORATED COMMON STOCK
